index,compound id (and file prefix),SMILES,iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem),experimental value (kcalmol),experimental uncertainty (kcalmol),Mobley group calculated value (GAFF) (kcalmol),calculated uncertainty (kcalmol),experimental reference (original or paper this value was taken from),calculated reference,text notes.,mol,isosmiles
485,mobley_7463799, c1ccc(cc1)CCCO, 3-phenylpropan-1-ol,-6.92,0.6,-5.77,0.04, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d299a0>,OCCCc1ccccc1
486,mobley_7497999, CC(=O)c1ccccc1, 1-phenylethanone,-4.58,0.6,-5.08,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29a00>,CC(=O)c1ccccc1
487,mobley_7532833, CC#N, acetonitrile,-3.88,0.6,-2.79,0.02, 10.1021jp0264477, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29a60>,CC#N
488,mobley_7542832, CCCOCCC, 1-propoxypropane,-1.16,0.6,-0.0,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29ac0>,CCCOCCC
489,mobley_755351, COc1cccc(c1)N, 3-methoxyaniline,-7.29,0.6,-7.2,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29b20>,COc1cccc(N)c1
490,mobley_7573149, CCCOC(=O)C, propyl acetate,-2.79,0.6,-3.49,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29b80>,CCCOC(C)=O
491,mobley_7578802, C(Br)(Br)Br, bromoform,-2.13,0.6,-0.53,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29be0>,BrC(Br)Br
492,mobley_7599023, c1ccc(cc1)Br, bromobenzene,-1.46,0.6,-0.95,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29c40>,Brc1ccccc1
493,mobley_7608435, CCCCCCCC(=O)OC, methyl octanoate,-2.04,0.6,-3.04,0.04, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29ca0>,CCCCCCCC(=O)OC
494,mobley_7608462, c1ccc(cc1)Cl, chlorobenzene,-1.12,0.6,-0.47,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29d00>,Clc1ccccc1
495,mobley_7610437, CC[C@H](C(C)C)O, 2-methylpentan-3-ol,-3.88,0.6,-2.42,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104, Renamed mobley_7610437 from 2-methylpentan-3-ol to (3R)-2-methylpentan-3-ol (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d29d60>,CC[C@@H](O)C(C)C
496,mobley_766666, C(=C(Cl)Cl)Cl," 1,1,2-trichloroethylene",-0.44,0.6,0.82,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29dc0>,ClC=C(Cl)Cl
497,mobley_7676709, CC1=CC(=O)[C@@H](CC1)C(C)C, 6-isopropyl-3-methyl-1-cyclohex-2-enone,-4.51,0.1,-3.83,0.03, SAMPL4_Guthrie, 10.1021acs.jced.7b00104, Renamed mobley_7676709 from 6-isopropyl-3-methyl-1-cyclohex-2-enone to (6S)-6-isopropyl-3-methyl-cyclohex-2-en-1-one (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d29e20>,CC1=CC(=O)[C@H](C(C)C)CC1
498,mobley_7688753, c1cc(cc(c1)O)C=O, 3-hydroxybenzaldehyde,-9.52,1.9,-9.37,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Experimental value updated 102213 from J. Peter Guthrie's examination of published data. A range of values -7.48 to -9.52 seem possible, but the original experimental data has not yet been located. More work is needed.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29e80>,O=Cc1cccc(O)c1
499,mobley_7690440, CSSC, methyldisulfanylmethane,-1.83,0.6,-0.09,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29ee0>,CSSC
500,mobley_7708038, CCCBr, 1-bromopropane,-0.56,0.6,0.58,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29f40>,CCCBr
501,mobley_7732703, C(F)(F)(F)Br, bromo-trifluoro-methane,1.79,0.6,1.56,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d29fa0>,FC(F)(F)Br
502,mobley_7735340, c1cnc[nH]1, imidazole,-9.63,0.6,-7.97,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b040>,c1c[nH]cn1
503,mobley_7754849, CCOP(=S)(OCC)SCSP(=S)(OCC)OCC, ethion,-6.1,1.37,-10.64,0.05, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b0a0>,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
504,mobley_7758918, CCC(=O)O, propionic acid,-6.46,0.6,-9.09,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b100>,CCC(=O)O
505,mobley_7768165, C(CBr)Cl, 1-bromo-2-chloro-ethane,-1.95,0.6,-0.8,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b160>,ClCCBr
506,mobley_7769613, CC(C)(C)Br, 2-bromo-2-methyl-propane,0.84,0.6,0.44,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b1c0>,CC(C)(C)Br
507,mobley_7774695, CNc1ccccc1, N-methylaniline,-4.69,0.6,-5.72,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b220>,CNc1ccccc1
508,mobley_778352, CC=C(C)C, 2-methylbut-2-ene,1.31,0.6,2.27,0.02, 10.1021jp0264477, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b280>,CC=C(C)C
509,mobley_7794077, c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F, 5-trifluoromethyluracil,-15.46,0.16,-17.35,0.03, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b2e0>,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1
510,mobley_7814642, c1cc(c(cc1Cl)Cl)Cl," 1,2,4-trichlorobenzene",-1.12,0.6,-0.12,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b340>,Clc1ccc(Cl)c(Cl)c1
511,mobley_7829570, CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]," N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",-3.51,1.93,-2.3,0.05, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from benefin to N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b3a0>,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
512,mobley_7859387, CCCCCCC=O, heptanal,-2.67,0.6,-2.7,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b400>,CCCCCCC=O
513,mobley_7860938, CCCCNCCCC, N-butylbutan-1-amine,-3.24,0.6,-2.08,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b460>,CCCCNCCCC
514,mobley_7869158, CC[C@H](C)O[N+](=O)[O-], [(2S)-butan-2-yl] nitrate,-1.82,0.1,-1.86,0.03, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from 2-butyl nitrate to [(2S)-butan-2-yl] nitrate for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b4c0>,CC[C@H](C)O[N+](=O)[O-]
515,mobley_7893124, CC(C)(C)c1ccccc1, tert-butylbenzene,-0.44,0.6,-0.8,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b520>,CC(C)(C)c1ccccc1
516,mobley_7912193, CCCCOC(=O)c1ccc(cc1)O, butyl paraben,-8.72,0.27,-8.77,0.04, 10.1007s10822-010-9350-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b580>,CCCCOC(=O)c1ccc(O)cc1
517,mobley_7913234, CCCCOC[C@H](C)O, 1-butoxy-2-propanol,-5.73,0.15,-3.89,0.04, SAMPL4_Guthrie, 10.1021acs.jced.7b00104, Renamed mobley_7913234 from 1-butoxy-2-propanol to (2S)-1-butoxypropan-2-ol (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b5e0>,CCCCOC[C@H](C)O
518,mobley_7943327, CCC(=O)OCC, ethyl propanoate,-2.68,0.6,-3.22,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b640>,CCOC(=O)CC
519,mobley_7977115, CCC[C@H](CC)O, hexan-3-ol,-4.06,0.6,-2.58,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104, Renamed mobley_7977115 from hexan-3-ol to (3S)-hexan-3-ol (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b6a0>,CCC[C@@H](O)CC
520,mobley_7983227, CC[C@@H](C)CO, 2-methylbutan-1-ol,-4.42,0.6,-3.0,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104, Renamed mobley_7983227 from 2-methylbutan-1-ol to (2R)-2-methylbutan-1-ol (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b700>,CC[C@@H](C)CO
521,mobley_7988076, c1cc(ccc1C=O)O, 4-hydroxybenzaldehyde,-8.83,0.6,-10.05,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b760>,O=Cc1ccc(O)cc1
522,mobley_8006582, C1CCCC1, cyclopentane,1.2,0.6,1.65,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b7c0>,C1CCCC1
523,mobley_8011706, CN(C)C=O," N,N-dimethylformamide",-7.81,0.6,-6.93,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b820>,CN(C)C=O
524,mobley_8048190, CC(=O)N, acetamide,-9.71,0.6,-8.82,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b880>,CC(N)=O
525,mobley_8052240, c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N," 1-amino-9,10-anthracenedione",-9.44,0.74,-12.21,0.04, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b8e0>,Nc1cccc2c1C(=O)c1ccccc1C2=O
526,mobley_8057732, c1cc(cc(c1)Cl)O, 3-chlorophenol,-6.62,0.6,-5.02,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b940>,Oc1cccc(Cl)c1
527,mobley_8117218, C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl, endrin,-4.82,0.1,-5.18,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2b9a0>,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@@H]54)[C@H]3[C@@]1(Cl)C2(Cl)Cl
528,mobley_8118832, C=CCO, prop-2-en-1-ol,-5.03,0.6,-3.29,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2ba00>,C=CCO
529,mobley_8124669, CCc1cccc(c1N(COC)C(=O)CCl)CC, alachlor,-8.21,0.29,-6.85,0.05, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2ba60>,CCc1cccc(CC)c1N(COC)C(=O)CCl
530,mobley_8127829, CCc1ccccc1, ethylbenzene,-0.79,0.6,-0.61,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bac0>,CCc1ccccc1
531,mobley_819018, CC(=CCCC(=CCO)C)C," (2E)-3,7-dimethylocta-2,6-dien-1-ol",-4.45,0.24,-2.52,0.04, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  IUPAC name standardized in v0.2 to match PubChem.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bb20>,CC(C)=CCCC(C)=CCO
532,mobley_8191186, C(C(F)(F)F)Cl," 2-chloro-1,1,1-trifluoro-ethane",0.06,0.6,0.23,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bb80>,FC(F)(F)CCl
533,mobley_8207196, CCNc1nc(nc(n1)Cl)NCC, simazine,-10.22,0.1,-10.91,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bbe0>,CCNc1nc(Cl)nc(NCC)n1
534,mobley_820789, CCCC(=O)O, butyric acid,-6.35,0.6,-9.43,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bc40>,CCCC(=O)O
535,mobley_8208692, c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",-4.61,0.25,-0.04,0.05, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bca0>,Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
536,mobley_8221999, CCCC#N, butanenitrile,-3.64,0.6,-2.29,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bd00>,CCCC#N
537,mobley_8260524, CC#C, prop-1-yne,-0.48,0.6,0.07,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bd60>,C#CC
538,mobley_8311303, c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl," 1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",-4.38,0.22,-0.7,0.04, 10.1007s10822-012-9568-8, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bdc0>,Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl
539,mobley_8311321, C(F)(F)Cl, chloro-difluoro-methane,-0.5,0.6,-0.07,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2be20>,FC(F)Cl
540,mobley_8320545, CC[N+](=O)[O-], 1-nitroethane,-3.71,0.6,-1.84,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2be80>,CC[N+](=O)[O-]
541,mobley_8337722, C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C," (1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",-3.2,0.28,-3.35,0.04, SAMPL4_Guthrie, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bee0>,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
542,mobley_8337977, CC(C)CC(=O)C, 4-methylpentan-2-one,-3.05,0.6,-3.12,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bf40>,CC(=O)CC(C)C
543,mobley_8426916, CCNCC, N-ethylethanamine,-4.07,0.6,-2.99,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d2bfa0>,CCNCC
544,mobley_8427539, CCC(=O)N, propionamide,-9.4,0.2,-8.31,0.02, 10.1039P29900000291, 10.1021acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039P29900000291 -- 0.2 kcalmol.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d11040>,CCC(N)=O
545,mobley_8436428, CC(C)CC(C)C," 2,4-dimethylpentane",2.83,0.6,2.76,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d110a0>,CC(C)CC(C)C
546,mobley_8449031, CCN(CC)CC," N,N-diethylethanamine",-3.22,0.6,-1.96,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11100>,CCN(CC)CC
547,mobley_8467917, CCCCC=CC, hept-2-ene,1.68,0.6,2.78,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104, Renamed mobley_8467917 from hept-2-ene to (E)-hept-2-ene (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,<rdkit.Chem.rdchem.Mol object at 0x2b7646d11160>,CC=CCCCC
548,mobley_8492526, CCCCC=O, pentanal,-3.03,0.6,-2.93,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d111c0>,CCCCC=O
549,mobley_8514745, CCCCCOC(=O)C, pentyl acetate,-2.51,0.6,-2.56,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11220>,CCCCCOC(C)=O
550,mobley_8522124, CCCCCCC#C, oct-1-yne,0.71,0.6,0.83,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11280>,C#CCCCCCC
551,mobley_8525830, CCCCCI, 1-iodopentane,-0.14,0.6,-0.11,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d112e0>,CCCCCI
552,mobley_852937, c1cc(ccc1O)F, 4-fluorophenol,-6.19,0.6,-4.96,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11340>,Oc1ccc(F)cc1
553,mobley_8558116, CN1CCOCC1, 4-methylmorpholine,-6.32,0.6,-5.77,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d113a0>,CN1CCOCC1
554,mobley_8573194, CCCC=O, butanal,-3.18,0.6,-3.04,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11400>,CCCC=O
555,mobley_8578590, CS(=O)C, methylsulfinylmethane,-9.28,0.57,-8.24,0.02, 10.108009593338709384509 and 10.1038313384a0, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Updated 102213 using the mean of experimental data from two sources from J. Peter Guthrie --  Watts & Brimblecombe (1987) and Taft & Abraham et al. (1985). Uncertainty taken as the standard deviation across the two datapoints..  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11460>,CS(C)=O
556,mobley_859464, CC(C)COC(=O)C, isobutyl acetate,-2.36,0.6,-2.9,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d114c0>,CC(=O)OCC(C)C
557,mobley_8614858, CCCCCCC, heptane,2.67,0.6,2.92,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11520>,CCCCCCC
558,mobley_8668219, CC[C@@H](C)C(C)C," 2,3-dimethylpentane",2.52,0.6,2.62,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Renamed mobley_8668219 from 2,3-dimethylpentane to (3R)-2,3-dimethylpentane (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11580>,CC[C@@H](C)C(C)C
559,mobley_8685905, [C@@H](C(F)(F)F)(F)Br," 2-bromo-1,1,1,2-tetrafluoro-ethane",0.5,0.6,0.23,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Renamed mobley_8685905 from 2-bromo-1,1,1,2-tetrafluoro-ethane to (2R)-2-bromo-1,1,1,2-tetrafluoro-ethane (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d115e0>,F[C@H](Br)C(F)(F)F
560,mobley_8691603, Cc1cccc(c1)O, m-cresol,-5.49,0.6,-5.38,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11640>,Cc1cccc(O)c1
561,mobley_8705848, CC(C)NC(C)C, N-isopropylpropan-2-amine,-3.22,0.6,-1.99,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d116a0>,CC(C)NC(C)C
562,mobley_8713762, CCCN(CCC)C(=O)SCCC," N,N-dipropyl(propylsulfanyl)formamide",-4.13,1.36,-4.57,0.04, 10.1021jp806724u, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from vernolate to N,N-dipropyl(propylsulfanyl)formamide for better handlingstandardization.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11700>,CCCSC(=O)N(CCC)CCC
563,mobley_8723116, c1cc(ccc1N)Cl, 4-chloroaniline,-5.9,0.6,-5.28,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11760>,Nc1ccc(Cl)cc1
564,mobley_8739734, CC(C)C(=O)C, 3-methylbutan-2-one,-3.24,0.6,-3.08,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d117c0>,CC(=O)C(C)C
565,mobley_8746821, Cc1cccnc1C," 2,3-dimethylpyridine",-4.82,0.6,-3.37,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11820>,Cc1cccnc1C
566,mobley_8754702, CCCOC=O, propyl formate,-2.48,0.6,-3.7,0.02, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d11880>,CCCOC=O
567,mobley_8764620, c1cc(cnc1)C#N, pyridine-3-carbonitrile,-6.75,0.6,-5.58,0.03, 10.1021ct050097l, 10.1021acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",<rdkit.Chem.rdchem.Mol object at 0x2b7646d118e0>,N#Cc1cccnc1
